,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,ETHBTC,0.00054000,0.891,0.06116857,0.06060000,0.06114000,0.07070000,0.06114000,62.14830000,0.06115000,21.75210000,0.06060000,0.06160000,0.06050000,23105.56520000,1413.33437132,1695858182315,1695944582315,423327601,423367108,39508
1,LTCBTC,0.00000400,0.166,0.00240514,0.00240800,0.00241300,0.99300000,0.00241300,47.68200000,0.00241400,20.34600000,0.00240900,0.00242300,0.00238200,28690.32400000,69.00417211,1695858161059,1695944561059,93635180,93645013,9834
2,BNBBTC,-0.00008100,-1.007,0.00800395,0.00804100,0.00796000,0.45100000,0.00795900,4.35100000,0.00796000,12.32500000,0.00804100,0.00806900,0.00789000,21019.12300000,168.23592164,1695858154164,1695944554164,227380605,227403899,23295
3,NEOBTC,-0.00000130,-0.477,0.00027080,0.00027220,0.00027100,1.54000000,0.00027100,37.30000000,0.00027150,554.73000000,0.00027230,0.00027500,0.00026820,8692.52000000,2.35396724,1695858182508,1695944582508,45537526,45538485,960
4,QTUMETH,-0.00000800,-0.590,0.00136456,0.00135300,0.00134700,74.90000000,0.00135000,200.00000000,0.00135300,8.20000000,0.00135500,0.00138200,0.00134300,4055.70000000,5.53422690,1695858120045,1695944520045,5402514,5402594,81
5,EOSETH,-0.00000520,-1.483,0.00034748,0.00035050,0.00034540,8.60000000,0.00034540,541.50000000,0.00034620,658.00000000,0.00035060,0.00035090,0.00034350,12668.50000000,4.40199991,1695858109319,1695944509319,23499339,23499493,155
6,SNTETH,-0.00000018,-1.253,0.00001419,0.00001437,0.00001419,1159.00000000,0.00001415,4275.00000000,0.00001424,1625.00000000,0.00001437,0.00001440,0.00001396,813271.00000000,11.54188099,1695858119984,1695944519984,3914456,3915092,637
7,BNTETH,-0.00000100,-0.405,0.00024482,0.00024720,0.00024570,11.70000000,0.00024550,246.50000000,0.00024650,77.60000000,0.00024670,0.00024720,0.00024370,2222.40000000,0.54408250,1695858129929,1695944529929,2235588,2235620,33
8,BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
9,GASBTC,-0.00000040,-0.452,0.00008790,0.00008850,0.00008810,27.70000000,0.00008810,72.40000000,0.00008840,51.30000000,0.00008850,0.00008920,0.00008680,22639.70000000,1.98998618,1695858141703,1695944541703,20828100,20828938,839
10,BNBETH,-0.00250000,-1.885,0.13088817,0.13270000,0.13010000,0.04700000,0.13010000,17.00700000,0.13020000,14.02400000,0.13260000,0.13280000,0.12960000,8368.81400000,1095.37872040,1695858169214,1695944569214,56353447,56360838,7392
